ProductID,ProductName,Category,SupplierID,UnitPrice,StockQuantity,ProductStatus,LaunchDate,Weight
P0001,Happy Live Instead Pro,Groceries & Gourmet Food,S002,2706.38,1063,Active,3/3/2023,41.57
P0002,International Character Plus,Apparel & Accessories,S002,672.6,-11,Active,3/8/2023,1.99
P0003,Believe National Put Pro,Health & Beauty,S009,212229.2,687,OutOfStock,3/8/2023,11.27
P0004,Your Provide Yourself Basic,Groceries & Gourmet Food,S013,129048.65,,OutOfStock,3/10/2023,
P0005,Catch Shoulder Least A Eco,Automotive Parts,S004,210854.43,91,OutOfStock,3/13/2023,5.62
P0006,Certain Partner Sense 844,Books & Media,S013,132878.27,88,Active,3/14/2023,37.34
P0007,Against So Alone Deluxe,Electronics,S010,100.01,,Discontinued,3/18/2023,36.85
P0008,Carved Serve Level Measure Eco,Local Crafts,S014,106158.04,,Discontinued,3/18/2023,22.97
P0009,Put So Everything Single Basic,Apparel & Accessories,S005,238844.99,449,Active,3/19/2023,3.09
P0010,Ankara Story Reveal Vote Even Deluxe,Nigerian Fashion,S013,72038.66,592,Coming Soon,3/23/2023,38.69
P0011,Send Bag Really Human 398,Electronics,S012,186375.13,783,Discontinued,3/24/2023,0.23
P0012,Foot History Stand Work Eco,Sports & Outdoors,S007,86067.24,303,Discontinued,3/31/2023,46.77
P0013,Carved Author Character Pro,Local Crafts,S008,31018.41,978,,4/7/2023,21.24
P0014,Dinner Baby Him Pro,Home & Kitchen,S004,142523.8,33,OutOfStock,4/10/2023,49.46
P0015,Several Consider Pro,Sports & Outdoors,S007,1397.98,,OutOfStock,4/13/2023,42.19
P0016,Ready Letter Network Really Pro,Toys & Games,S009,215445.24,-11,Active,4/28/2023,1.85
P0017,Dinner My Send Energy Basic,Toys & Games,S011,37085.63,422,Active,4/29/2023,29.49
P0018,Professional Case Affect 230,Groceries & Gourmet Food,S005,135750.99,767,Active,5/1/2023,8.19
P0019,Carved Too Top Quite Else Eco,Local Crafts,S011,132190.6,,Coming Soon,4/5/2023,14.12
P0020,Total Mouth Basic,Home & Kitchen,S011,95936.15,1450,OutOfStock,5/9/2023,3.39
P0021,Use Court Make Deluxe,Books & Media,S013,232047.74,516,Active,5/15/2023,
P0022,Me Industry Popular Plus,Electronics,S004,188518.38,1059,Coming Soon,5/17/2023,6.6
P0023,Source Question Plus,Sports & Outdoors,S007,163080.05,,Discontinued,5/19/2023,16.35
P0024,Fact Goal Something Deluxe,Apparel & Accessories,S011,141987.13,385,Active,5/31/2023,46.57
P0025,What Cut On Deluxe,Office Supplies,S013,119398.77,812,Active,6/9/2023,
P0026,Both Television Basic,Automotive Parts,S004,161957.83,804,Coming Soon,6/11/2023,
P0027,History Everyone Very Rise Plus,Apparel & Accessories,S003,143103.98,202,OutOfStock,6/12/2023,
P0028,Wonder Individual Soon Basic,Toys & Games,S002,54349.9,1137,Active,6/14/2023,
P0029,Adire Family Your Social Suffer Deluxe,Local Crafts,S015,41315.77,1026,Discontinued,6/14/2023,
P0030,Human Tree Chair Note Pro,Office Supplies,S003,101208.48,449,Discontinued,6/16/2023,24.79
P0031,As Part 672,Electronics,S005,175301.67,1400,Active,6/29/2023,23.04
P0032,Adire Tv From Total Pro,Local Crafts,S006,46868.26,1272,OutOfStock,7/4/2023,
P0033,Serve Computer First Basic,Electronics,S006,111996.53,1108,Active,7/9/2023,36.39
P0034,Might There Research Heart 119,Groceries & Gourmet Food,S003,85412.67,1067,Active,7/10/2023,3.44
P0035,Woven Case Recently Wall Continue Deluxe,Nigerian Fashion,S010,27593.45,1198,Discontinued,7/12/2023,22.06
P0036,Woven Pattern Day Herself Eco,Local Crafts,S003,119677.29,991,,7/18/2023,46.71
P0037,Against Watch 491,Apparel & Accessories,S014,10002.29,,Active,7/23/2023,22.91
P0038,Raise Shoulder 899,Automotive Parts,S011,99673.58,,OutOfStock,7/24/2023,45.03
P0039,Dream Certainly Manage Rock Plus,Automotive Parts,S006,71420.94,-7,Coming Soon,7/25/2023,20.19
P0040,Drive Agent One Assume Plus,Groceries & Gourmet Food,S006,172665.36,498,OutOfStock,7/30/2023,15.25
P0041,Hand Center Audience Deluxe,Sports & Outdoors,S002,204529.85,476,Active,7/31/2023,0.98
